filename,category,height,width,xmin,ymin,xmax,ymax
IMG_0333.png,Fungus,1262,1074,767,970,889,1175
IMG_0333.png,Fungus,1262,1074,862,902,987,1019
IMG_0333.png,Fungus,1262,1074,936,1082,1061,1237
IMG_0333.png,Fungus,1262,1074,977,714,1042,872
IMG_0333.png,Fungus,1262,1074,663,169,769,273
IMG_0333.png,Fungus,1262,1074,382,294,551,482
IMG_0333.png,Leaf,1262,1074,0,0,1074,1262
IMG_0333.png,Fungus,1262,1074,494,204,639,324
IMG_0333.png,Fungus,1262,1074,611,512,772,668
IMG_0333.png,Fungus,1262,1074,301,870,513,1055
IMG_0333.png,Fungus,1262,1074,606,861,739,1030
IMG_0335.png,Leaf,1019,921,0,0,921,1019
IMG_0337.png,Leaf,698,517,0,0,517,698
IMG_0337.png,Fungus,698,517,156,337,181,363
IMG_0337.png,Fungus,698,517,490,667,514,693
IMG_0339.png,Fungus,877,861,194,658,269,684
IMG_0339.png,Leaf,877,861,0,0,861,877
IMG_0339.png,Fungus,877,861,259,629,302,659
IMG_0341.png,Fungus,920,687,84,78,178,164
IMG_0341.png,Leaf,920,687,0,0,687,920
IMG_0341.png,Fungus,920,687,323,316,385,376
IMG_0343.png,Leaf,1072,700,0,0,700,1072
IMG_0345.png,Fungus,730,739,44,187,81,222
IMG_0345.png,Leaf,730,739,0,0,739,730
IMG_0345.png,Other Insect,730,739,118,166,142,191
IMG_0345.png,Other Insect,730,739,116,196,197,287
IMG_0345.png,Other Insect,730,739,157,99,264,184
IMG_0345.png,Fungus,730,739,204,349,239,378
IMG_0345.png,Fungus,730,739,297,251,328,276
IMG_0345.png,Other Insect,730,739,304,49,544,232
IMG_0347.png,Fungus,605,552,457,508,548,602
IMG_0347.png,Leaf,605,552,0,0,552,605
IMG_0347.png,Fungus,605,552,186,168,333,281
IMG_0351.png,Fungus,693,709,448,491,557,621
IMG_0351.png,Leaf,693,709,0,0,709,693
IMG_0351.png,Other Insect,693,709,477,280,582,422
IMG_0355.png,Leaf,859,773,0,0,773,859
IMG_0355.png,Fungus,859,773,198,314,271,465
IMG_0355.png,Fungus,859,773,561,777,765,844
IMG_0357.png,Leaf,851,770,0,0,770,851
IMG_0359.png,Leaf,508,355,0,0,355,508
IMG_0361.png,Leaf,893,745,0,0,745,893
IMG_0361.png,Mechanical Damage,893,745,181,36,279,86
IMG_0365.png,Leaf,994,894,0,0,894,994
IMG_0367.png,Leaf,899,645,0,0,645,899
IMG_0367.png,Fungus,899,645,198,381,440,675
IMG_0367.png,Fungus,899,645,485,648,622,889
IMG_0369.png,Leaf,824,689,0,0,689,824
IMG_0369.png,Fungus,824,689,405,498,675,819
IMG_0369.png,Fungus,824,689,450,254,652,482
IMG_0369.png,Fungus,824,689,252,311,411,391
IMG_0371.png,Leaf,1227,937,0,0,937,1227
IMG_0373.png,Leaf,841,804,0,0,804,841
IMG_0373.png,Fungus,841,804,176,285,296,399
IMG_0376.png,Leaf,457,485,0,0,485,457
IMG_0376.png,Mechanical Damage,457,485,231,274,360,347
IMG_0376.png,Fungus,457,485,47,41,143,115
IMG_0376.png,Fungus,457,485,108,165,146,200
IMG_0378.png,Leaf,1089,1037,0,0,1037,1089
IMG_0380.png,Leaf,824,759,0,0,759,824
IMG_0384.png,Leaf,681,724,0,0,724,681
IMG_0384.png,Other Insect,681,724,106,291,216,402
IMG_0384.png,Other Insect,681,724,299,533,367,595
IMG_0384.png,Other Insect,681,724,507,169,641,294
IMG_0384.png,Other Insect,681,724,615,346,703,514
IMG_0384.png,Other Insect,681,724,538,604,651,645
IMG_0386.png,Leaf,597,595,0,0,595,597
IMG_0386.png,Fungus,597,595,166,8,223,66
IMG_0386.png,Fungus,597,595,137,68,188,111
IMG_0388.png,Leaf,1772,896,0,0,896,1772
IMG_0388.png,Other Insect,1772,896,729,558,805,661
IMG_0390.png,Leaf,758,600,0,0,600,758
IMG_0392.png,Leaf,600,615,0,0,615,600
IMG_0394.png,Leaf,734,620,0,0,620,734
IMG_0394.png,Fungus,734,620,516,643,602,719
IMG_0394.png,Fungus,734,620,202,231,335,346
IMG_0394.png,Fungus,734,620,287,411,333,462
IMG_0394.png,Fungus,734,620,232,549,280,592
IMG_0396.png,Leaf,952,579,0,0,579,952
IMG_0396.png,Fungus,952,579,185,297,377,433
IMG_0396.png,Fungus,952,579,524,641,556,689
IMG_0398.png,Leaf,805,598,0,0,598,805
