img.tag,ind.leaf,LA(cm2),intact.LA(cm2),proportion
image_1_damage_1.png,0,365,394,0.07360406091370558
image_1_damage_2.png,0,392,395,0.007594936708860759
image_1_damage_3.png,0,376,394,0.04568527918781726
image_1_damage_4.png,0,370,396,0.06565656565656566
image_1_damage_5.png,0,370,390,0.05128205128205128
image_1_damage_6.png,0,363,392,0.07397959183673469
image_1_damage_7.png,0,359,391,0.08184143222506395
image_1_damage_8.png,0,372,381,0.023622047244094488
image_1_damage_9.png,0,390,397,0.017632241813602016
image_1_damage_10.png,0,371,395,0.060759493670886074
image_2_damage_1.png,0,616,634,0.028391167192429023
image_2_damage_2.png,0,621,636,0.02358490566037736
image_2_damage_3.png,0,603,633,0.04739336492890995
image_2_damage_4.png,0,604,621,0.027375201288244767
image_2_damage_5.png,0,625,635,0.015748031496062992
image_2_damage_6.png,0,627,635,0.012598425196850394
image_2_damage_7.png,0,597,630,0.05238095238095238
image_2_damage_8.png,0,610,628,0.028662420382165606
image_2_damage_9.png,0,604,629,0.0397456279809221
image_2_damage_10.png,0,612,629,0.02702702702702703
image_3_damage_1.png,0,271,301,0.09966777408637874
image_3_damage_2.png,0,276,310,0.10967741935483871
image_3_damage_3.png,0,273,293,0.06825938566552901
image_3_damage_4.png,0,266,286,0.06993006993006994
image_3_damage_5.png,0,298,308,0.032467532467532464
image_3_damage_6.png,0,288,296,0.02702702702702703
image_3_damage_7.png,0,284,306,0.0718954248366013
image_3_damage_8.png,0,298,308,0.032467532467532464
image_3_damage_9.png,0,281,305,0.07868852459016394
image_3_damage_10.png,0,300,307,0.02280130293159609
image_4_damage_1.png,0,412,421,0.021377672209026127
image_4_damage_2.png,0,381,420,0.09285714285714286
image_4_damage_3.png,0,402,410,0.01951219512195122
image_4_damage_4.png,0,403,421,0.04275534441805225
image_4_damage_5.png,0,410,423,0.030732860520094562
image_4_damage_6.png,0,413,417,0.009592326139088728
image_4_damage_7.png,0,406,419,0.031026252983293555
image_4_damage_8.png,0,404,419,0.03579952267303103
image_4_damage_9.png,0,399,414,0.036231884057971016
image_4_damage_10.png,0,403,416,0.03125
image_5_damage_1.png,0,175,187,0.06417112299465241
image_5_damage_2.png,0,174,187,0.06951871657754011
image_5_damage_3.png,0,130,177,0.2655367231638418
image_5_damage_4.png,0,163,185,0.11891891891891893
image_5_damage_5.png,0,145,183,0.20765027322404372
image_5_damage_6.png,0,143,179,0.2011173184357542
image_5_damage_7.png,0,162,187,0.13368983957219252
image_5_damage_8.png,0,168,187,0.10160427807486631
image_5_damage_9.png,0,173,188,0.0797872340425532
image_5_damage_10.png,0,150,179,0.16201117318435754
image_6_damage_1.png,0,537,574,0.06445993031358885
image_6_damage_2.png,0,566,578,0.020761245674740483
image_6_damage_3.png,0,541,574,0.05749128919860627
image_6_damage_4.png,0,558,574,0.027874564459930314
image_6_damage_5.png,0,572,577,0.008665511265164644
image_6_damage_6.png,0,533,576,0.07465277777777778
image_6_damage_7.png,0,545,573,0.04886561954624782
image_6_damage_8.png,0,570,575,0.008695652173913044
image_6_damage_9.png,0,571,577,0.010398613518197574
image_6_damage_10.png,0,567,576,0.015625
image_7_damage_1.png,0,340,351,0.03133903133903134
image_7_damage_2.png,0,331,355,0.0676056338028169
image_7_damage_3.png,0,324,348,0.06896551724137931
image_7_damage_4.png,0,331,355,0.0676056338028169
image_7_damage_5.png,0,339,341,0.005865102639296188
image_7_damage_6.png,0,337,352,0.04261363636363636
image_7_damage_7.png,0,345,352,0.019886363636363636
image_7_damage_8.png,0,346,349,0.008595988538681949
image_7_damage_9.png,0,331,352,0.05965909090909091
image_7_damage_10.png,0,343,353,0.028328611898016998
image_8_damage_1.png,0,389,395,0.015189873417721518
image_8_damage_2.png,0,370,394,0.06091370558375635
image_8_damage_3.png,0,389,399,0.02506265664160401
image_8_damage_4.png,0,370,401,0.0773067331670823
image_8_damage_5.png,0,384,396,0.030303030303030304
image_8_damage_6.png,0,364,400,0.09
image_8_damage_7.png,0,363,399,0.09022556390977443
image_8_damage_8.png,0,380,397,0.042821158690176324
image_8_damage_9.png,0,354,390,0.09230769230769231
image_8_damage_10.png,0,359,394,0.08883248730964467
image_9_damage_1.png,0,520,529,0.017013232514177693
image_9_damage_2.png,0,528,544,0.029411764705882353
image_9_damage_3.png,0,512,542,0.055350553505535055
image_9_damage_4.png,0,534,545,0.02018348623853211
image_9_damage_5.png,0,520,526,0.011406844106463879
image_9_damage_6.png,0,533,543,0.01841620626151013
image_9_damage_7.png,0,532,544,0.022058823529411766
image_9_damage_8.png,0,508,537,0.054003724394785846
image_9_damage_9.png,0,528,540,0.022222222222222223
image_9_damage_10.png,0,514,538,0.04460966542750929
image_10_damage_1.png,0,369,390,0.05384615384615385
image_10_damage_2.png,0,359,385,0.06753246753246753
image_10_damage_3.png,0,357,395,0.09620253164556962
image_10_damage_4.png,0,374,390,0.041025641025641026
image_10_damage_5.png,0,346,393,0.11959287531806616
image_10_damage_6.png,0,382,389,0.017994858611825194
image_10_damage_7.png,0,370,378,0.021164021164021163
image_10_damage_8.png,0,355,387,0.082687338501292
image_10_damage_9.png,0,352,386,0.08808290155440414
image_10_damage_10.png,0,359,388,0.07474226804123711
image_11_damage_1.png,0,554,559,0.008944543828264758
image_11_damage_2.png,0,545,562,0.030249110320284697
image_11_damage_3.png,0,556,563,0.012433392539964476
image_11_damage_4.png,0,553,560,0.0125
image_11_damage_5.png,0,553,557,0.00718132854578097
image_11_damage_6.png,0,550,560,0.017857142857142856
image_11_damage_7.png,0,555,564,0.015957446808510637
image_11_damage_8.png,0,558,564,0.010638297872340425
image_11_damage_9.png,0,549,555,0.010810810810810811
image_11_damage_10.png,0,546,563,0.03019538188277087
image_12_damage_1.png,0,727,756,0.03835978835978836
image_12_damage_2.png,0,751,764,0.017015706806282723
image_12_damage_3.png,0,740,758,0.023746701846965697
image_12_damage_4.png,0,740,759,0.025032938076416336
image_12_damage_5.png,0,719,758,0.051451187335092345
image_12_damage_6.png,0,747,762,0.01968503937007874
image_12_damage_7.png,0,726,759,0.043478260869565216
image_12_damage_8.png,0,748,764,0.020942408376963352
image_12_damage_9.png,0,743,758,0.01978891820580475
image_12_damage_10.png,0,742,764,0.028795811518324606
image_13_damage_1.png,0,497,513,0.031189083820662766
image_13_damage_2.png,0,501,515,0.027184466019417475
image_13_damage_3.png,0,494,509,0.029469548133595286
image_13_damage_4.png,0,478,498,0.040160642570281124
image_13_damage_5.png,0,469,507,0.07495069033530571
image_13_damage_6.png,0,477,510,0.06470588235294118
image_13_damage_7.png,0,492,511,0.03718199608610567
image_13_damage_8.png,0,469,510,0.0803921568627451
image_13_damage_9.png,0,491,512,0.041015625
image_13_damage_10.png,0,501,513,0.023391812865497075
image_14_damage_1.png,0,293,327,0.10397553516819572
image_14_damage_2.png,0,296,330,0.10303030303030303
image_14_damage_3.png,0,320,330,0.030303030303030304
image_14_damage_4.png,0,294,330,0.10909090909090909
image_14_damage_5.png,0,301,328,0.08231707317073171
image_14_damage_6.png,0,303,331,0.08459214501510574
image_14_damage_7.png,0,296,322,0.08074534161490683
image_14_damage_8.png,0,299,322,0.07142857142857142
image_14_damage_9.png,0,317,331,0.04229607250755287
image_14_damage_10.png,0,294,324,0.09259259259259259
image_15_damage_1.png,0,586,598,0.020066889632107024
image_15_damage_2.png,0,573,594,0.03535353535353535
image_15_damage_3.png,0,582,598,0.026755852842809364
image_15_damage_4.png,0,580,606,0.0429042904290429
image_15_damage_5.png,0,591,609,0.029556650246305417
image_15_damage_6.png,0,580,606,0.0429042904290429
image_15_damage_7.png,0,583,608,0.04111842105263158
image_15_damage_8.png,0,592,605,0.021487603305785124
image_15_damage_9.png,0,557,600,0.07166666666666667
image_15_damage_10.png,0,573,603,0.04975124378109453
